,sex,foreigner,national_group,province_resid,age_atmaincrime,dateofbirth,priorcrimes_dummy,priorcrimes_number_group,maincrime_cat,maincrime_violent,totalmaincrimes_number,maincrime_date,maincrime_year,province_execution,maincrime_program,maincrime_program2,maincrime_program_group,maincrime_programduration_group,V28_temps_inici,V29_durada_programa,V30_data_inici_programa,V31_data_fi_programa,recid15_date,recid15_age,recid15_number,recid15_durat_group,recid15_crime_group,recid15_crime_viol,recid15_viol,recid15_program,recid15_program_group,recid15_totsum,recid15_dummy,recid13_date,recid13_age,recid13_number,recid13_durat_group,recid13_crime_group,recid13_crime_viol,recid13_program,recid13_program_group,recid13_totsum,recid13_dummy
6,Home,Espanyol,Spain,unknown,15.0,1991-10-30,Amb antecedents,1 fet,Contra les persones,Violent,1,2007-02-19,2007,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,745.0,505,2009-03-05,2010-07-24,2011-09-15 00:00:00,19.0,2.0,D'1 a 2 anys,Contra la propietat no violent,No violent,False,SIPC - Localització permanent,LP,2 o 3 reincidències,Sí,2011-09-15 00:00:00,19.0,1.0,D'1 a 2 anys,Contra la propietat no violent,No violent,SIPC - Localització permanent,LP,1 reincidència,Sí
18,Home,Espanyol,Spain,Barcelona,15.0,1991-03-12,Amb antecedents,2 fets,Contra les persones,Violent,2,2006-06-18,2006,Girona,Internament en centre,Mesures d'execució,Internament,Més d'1 any,914.0,657,2008-12-18,2010-10-06,2012-07-13 00:00:00,21.0,6.0,D'1 a 2 anys,Contra les persones,Violent,True,MPA - Treballs en benefici de la comunitat,TBC,Més de 3 reincidències,Sí,2012-07-13 00:00:00,21.0,4.0,D'1 a 2 anys,Contra les persones,Violent,MPA - Treballs en benefici de la comunitat,TBC,Més de 3 reincidències,Sí
19,Home,Espanyol,Spain,Barcelona,15.0,1990-11-03,Amb antecedents,3 fets o més,Contra les persones,Violent,12,2005-12-21,2005,Barcelona,Internament en centre,Mesures d'execució,Internament,Més d'1 any,83.0,1750,2006-03-14,2010-12-28,2013-10-24 00:00:00,22.0,1.0,De 2 a 3 anys,Contra la propietat violent,Violent,True,SIPC - Preventiva,Presó,1 reincidència,Sí,2013-10-24 00:00:00,22.0,1.0,De 2 a 3 anys,Contra la propietat violent,Violent,SIPC - Preventiva,Presó,1 reincidència,Sí
28,Home,Estranger,Centre i Sud Amèrica,Tarragona,17.0,1990-06-28,Amb antecedents,2 fets,Contra les persones,Violent,2,2007-06-28,2007,Barcelona,Internament en centre,Mesures d'execució,Internament,Més d'1 any,635.0,425,2009-03-24,2010-05-23,2012-06-09 00:00:00,21.0,4.0,De 2 a 3 anys,Contra les persones,Violent,True,MPA - Treballs en benefici de la comunitat,TBC,Més de 3 reincidències,Sí,2012-06-09 00:00:00,21.0,2.0,De 2 a 3 anys,Contra les persones,Violent,MPA - Treballs en benefici de la comunitat,TBC,2 o 3 reincidències,Sí
41,Home,Estranger,Centre i Sud Amèrica,Barcelona,17.0,1990-02-17,Amb antecedents,3 fets o més,Contra les persones,Violent,4,2007-08-31,2007,Barcelona,Internament en centre,Mesures d'execució,Internament,Menys de 6 mesos,841.0,179,2009-12-19,2010-06-16,2012-11-02 00:00:00,22.0,3.0,De 2 a 3 anys,Contra la propietat violent,Violent,True,SIPC - Presó,Presó,2 o 3 reincidències,Sí,2012-11-02 00:00:00,22.0,2.0,De 2 a 3 anys,Contra la propietat violent,Violent,SIPC - Presó,Presó,2 o 3 reincidències,Sí
46,Home,Estranger,Centre i Sud Amèrica,Barcelona,15.0,1991-01-16,Amb antecedents,3 fets o més,Contra les persones,Violent,3,2006-05-06,2006,Barcelona,Internament en centre,Mesures d'execució,Internament,Més d'1 any,850.0,543,2008-09-02,2010-02-28,2012-02-05 00:00:00,21.0,1.0,D'1 a 2 anys,Contra la propietat violent,Violent,True,SIPC - Preventiva,Presó,1 reincidència,Sí,2012-02-05 00:00:00,21.0,1.0,D'1 a 2 anys,Contra la propietat violent,Violent,SIPC - Preventiva,Presó,1 reincidència,Sí
52,Home,Estranger,Centre i Sud Amèrica,Barcelona,15.0,1992-03-02,Amb antecedents,3 fets o més,Contra la propietat violent,Violent,7,2007-07-25,2007,Barcelona,Internament en centre,Mesures d'execució,Internament,Més d'1 any,448.0,740,2008-10-15,2010-10-25,2012-11-02 00:00:00,20.0,2.0,De 2 a 3 anys,Contra la propietat violent,Violent,True,SIPC - Preventiva,Presó,2 o 3 reincidències,Sí,2012-11-02 00:00:00,20.0,1.0,De 2 a 3 anys,Contra la propietat violent,Violent,SIPC - Preventiva,Presó,1 reincidència,Sí
58,Dona,Espanyol,Spain,Barcelona,15.0,1989-12-28,Amb antecedents,3 fets o més,Contra la propietat violent,Violent,4,2005-04-22,2005,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,1321.0,538,2008-12-03,2010-05-26,2010-09-21 00:00:00,20.0,1.0,Menys de 6 mesos,Altres,No violent,False,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí,2010-09-21 00:00:00,20.0,1.0,Menys de 6 mesos,Altres,No violent,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí
69,Home,Espanyol,Spain,Tarragona,16.0,1991-09-14,Amb antecedents,2 fets,Contra la propietat violent,Violent,2,2007-10-16,2007,Tarragona,Internament en centre,Mesures d'execució,Internament,Més d'1 any,762.0,389,2009-11-16,2010-12-10,2011-08-29 00:00:00,19.0,5.0,De 6 mesos a 1 any,Contra la propietat violent,Violent,True,SIPC - Preventiva,Presó,Més de 3 reincidències,Sí,2011-08-29 00:00:00,19.0,5.0,De 6 mesos a 1 any,Contra la propietat violent,Violent,SIPC - Preventiva,Presó,Més de 3 reincidències,Sí
75,Home,Espanyol,Spain,Tarragona,15.0,1991-07-14,Amb antecedents,3 fets o més,Contra la propietat violent,Violent,7,2007-01-20,2007,Tarragona,Internament en centre,Mesures d'execució,Internament,Més d'1 any,621.0,479,2008-10-02,2010-01-24,2012-01-15 00:00:00,20.0,1.0,D'1 a 2 anys,Altres,No violent,False,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí,2012-01-15 00:00:00,20.0,1.0,D'1 a 2 anys,Altres,No violent,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí
