,sex,foreigner,national_group,province_resid,age_atmaincrime,dateofbirth,priorcrimes_dummy,priorcrimes_number_group,maincrime_cat,maincrime_violent,totalmaincrimes_number,maincrime_date,maincrime_year,province_execution,maincrime_program,maincrime_program2,maincrime_program_group,maincrime_programduration_group,V28_temps_inici,V29_durada_programa,V30_data_inici_programa,V31_data_fi_programa,recid15_date,recid15_age,recid15_number,recid15_durat_group,recid15_crime_group,recid15_crime_viol,recid15_viol,recid15_program,recid15_program_group,recid15_totsum,recid15_dummy,recid13_date,recid13_age,recid13_number,recid13_durat_group,recid13_crime_group,recid13_crime_viol,recid13_program,recid13_program_group,recid13_totsum,recid13_dummy,savry
19,Home,Espanyol,Spain,Barcelona,15.0,1990-11-03,Amb antecedents,3 fets o més,Contra les persones,Violent,12,2005-12-21,2005,Barcelona,Internament en centre,Mesures d'execució,Internament,Més d'1 any,83.0,1750,2006-03-14,2010-12-28,2013-10-24 00:00:00,22.0,1.0,De 2 a 3 anys,Contra la propietat violent,Violent,True,SIPC - Preventiva,Presó,1 reincidència,Sí,2013-10-24 00:00:00,22.0,1.0,De 2 a 3 anys,Contra la propietat violent,Violent,SIPC - Preventiva,Presó,1 reincidència,Sí,True
20,Home,Espanyol,Spain,Barcelona,17.0,1991-07-02,Amb antecedents,3 fets o més,Contra les persones,Violent,8,2008-11-17,2008,Barcelona,Internament en centre,Mesures d'execució,Internament,De 6 mesos a 1 any,240.0,268,2009-07-15,2010-04-10,2010-11-16 00:00:00,19.0,1.0,De 6 mesos a 1 any,Altres,No violent,False,SIPC - Presó,Presó,1 reincidència,Sí,2010-11-16 00:00:00,19.0,1.0,De 6 mesos a 1 any,Altres,No violent,SIPC - Presó,Presó,1 reincidència,Sí,True
21,Home,Espanyol,Spain,Girona,14.0,1994-06-21,Amb antecedents,2 fets,Contra les persones,Violent,2,2009-04-26,2009,Girona,Llibertat vigilada,Mesures d'execució,LV,De 6 mesos a 1 any,379.0,213,2010-05-10,2010-12-09,2011-11-02 00:00:00,17.0,3.0,De 6 mesos a 1 any,Contra la propietat no violent,No violent,False,Llibertat vigilada,LV,2 o 3 reincidències,Sí,2011-11-02 00:00:00,17.0,3.0,De 6 mesos a 1 any,Contra la propietat no violent,No violent,Llibertat vigilada,LV,2 o 3 reincidències,Sí,True
22,Home,Espanyol,Spain,Barcelona,17.0,1991-01-03,Amb antecedents,2 fets,Contra les persones,Violent,2,2008-08-16,2008,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Menys de 6 mesos,612.0,119,2010-04-20,2010-08-17,2011-07-18 00:00:00,20.0,1.0,De 6 mesos a 1 any,Altres,No violent,False,MPA - Mediació i reparació d'adults,Altres MPA,1 reincidència,Sí,2011-07-18 00:00:00,20.0,1.0,De 6 mesos a 1 any,Altres,No violent,MPA - Mediació i reparació d'adults,Altres MPA,1 reincidència,Sí,True
23,Home,Espanyol,Spain,Barcelona,17.0,1990-10-31,Amb antecedents,1 fet,Contra les persones,Violent,1,2008-09-30,2008,Barcelona,Tractament terapèutic ambulatori,Mesures d'execució,Altres medi obert,De 6 mesos a 1 any,497.0,220,2010-02-09,2010-09-17,2010-10-07 00:00:00,19.0,3.0,Menys de 6 mesos,Contra les persones,Violent,True,SIPC - RPS,RPS,2 o 3 reincidències,Sí,2010-10-07 00:00:00,19.0,3.0,Menys de 6 mesos,Contra les persones,Violent,SIPC - RPS,RPS,2 o 3 reincidències,Sí,True
25,Home,Espanyol,Spain,Barcelona,16.0,1993-04-02,Amb antecedents,2 fets,Contra les persones,Violent,2,2010-02-09,2010,Barcelona,Assessorament tècnic menors,ATM,Assessorament tècnic menors,Menys de 6 mesos,56.0,55,2010-04-06,2010-05-31,2010-10-10 00:00:00,17.0,10.0,Menys de 6 mesos,Contra la propietat no violent,No violent,False,Assessorament tècnic menors,ATM,Més de 3 reincidències,Sí,2010-10-10 00:00:00,17.0,6.0,Menys de 6 mesos,Contra la propietat no violent,No violent,Assessorament tècnic menors,ATM,Més de 3 reincidències,Sí,True
26,Dona,Espanyol,Spain,Barcelona,16.0,1994-02-28,Amb antecedents,2 fets,Contra les persones,Violent,2,2010-09-10,2010,Barcelona,Assessorament tècnic menors,ATM,Assessorament tècnic menors,Menys de 6 mesos,91.0,6,2010-12-10,2010-12-17,2012-01-11 00:00:00,17.0,1.0,D'1 a 2 anys,Contra la propietat no violent,No violent,False,Assessorament tècnic menors,ATM,1 reincidència,Sí,2012-01-11 00:00:00,17.0,1.0,D'1 a 2 anys,Contra la propietat no violent,No violent,Assessorament tècnic menors,ATM,1 reincidència,Sí,True
27,Home,Espanyol,Spain,Tarragona,15.0,1994-09-21,Amb antecedents,2 fets,Contra les persones,Violent,2,2009-10-17,2009,Tarragona,Internament en centre,Mesures d'execució,Internament,De 6 mesos a 1 any,90.0,208,2010-01-15,2010-08-11,2012-02-22 00:00:00,17.0,3.0,D'1 a 2 anys,Contra la propietat no violent,No violent,False,Assessorament tècnic menors,ATM,2 o 3 reincidències,Sí,2012-02-22 00:00:00,17.0,3.0,D'1 a 2 anys,Contra la propietat no violent,No violent,Assessorament tècnic menors,ATM,2 o 3 reincidències,Sí,True
31,Home,Espanyol,Spain,Lleida,16.0,1993-01-30,Amb antecedents,2 fets,Contra les persones,Violent,2,2009-06-19,2009,Barcelona,Internament en centre,Mesures d'execució,Internament,Menys de 6 mesos,178.0,121,2009-12-14,2010-04-14,2010-07-01 00:00:00,17.0,5.0,Menys de 6 mesos,Contra la propietat no violent,No violent,False,Llibertat vigilada,LV,Més de 3 reincidències,Sí,2010-07-01 00:00:00,17.0,4.0,Menys de 6 mesos,Contra la propietat no violent,No violent,Llibertat vigilada,LV,Més de 3 reincidències,Sí,True
32,Home,Espanyol,Spain,Tarragona,16.0,1993-03-18,Amb antecedents,3 fets o més,Contra les persones,Violent,6,2009-05-14,2009,Tarragona,Llibertat vigilada,Mesures d'execució,LV,Menys de 6 mesos,284.0,166,2010-02-22,2010-08-07,2010-09-23 00:00:00,17.0,3.0,Menys de 6 mesos,Contra les persones,Violent,True,Internament centre terapèutic,Internament,2 o 3 reincidències,Sí,2010-09-23 00:00:00,17.0,3.0,Menys de 6 mesos,Contra les persones,Violent,Internament centre terapèutic,Internament,2 o 3 reincidències,Sí,True
33,Home,Espanyol,Spain,Barcelona,17.0,1991-07-24,Amb antecedents,3 fets o més,Contra les persones,Violent,3,2009-02-25,2009,Barcelona,Llibertat vigilada,Mesures d'execució,LV,De 6 mesos a 1 any,280.0,238,2009-12-02,2010-07-29,2010-08-16 00:00:00,19.0,1.0,Menys de 6 mesos,Contra les persones,Violent,True,SIPC - Preventiva,Presó,1 reincidència,Sí,2010-08-16 00:00:00,19.0,1.0,Menys de 6 mesos,Contra les persones,Violent,SIPC - Preventiva,Presó,1 reincidència,Sí,True
42,Home,Espanyol,Spain,Barcelona,17.0,1990-08-19,Amb antecedents,2 fets,Contra les persones,Violent,2,2008-03-07,2008,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,466.0,533,2009-06-16,2010-12-01,2011-02-28 00:00:00,20.0,3.0,Menys de 6 mesos,Contra la propietat violent,Violent,True,MPA - Tractament ambulatori (TTA),Altres MPA,2 o 3 reincidències,Sí,2011-02-28 00:00:00,20.0,2.0,Menys de 6 mesos,Contra la propietat violent,Violent,MPA - Tractament ambulatori (TTA),Altres MPA,2 o 3 reincidències,Sí,True
48,Home,Espanyol,Spain,Barcelona,16.0,1993-10-02,Amb antecedents,1 fet,Contra les persones,Violent,1,2010-06-10,2010,Barcelona,Assessorament tècnic menors,ATM,Assessorament tècnic menors,Menys de 6 mesos,26.0,0,2010-07-06,2010-07-06,2012-05-30 00:00:00,18.0,4.0,D'1 a 2 anys,Contra la propietat no violent,No violent,False,SIPC - Preventiva,Presó,Més de 3 reincidències,Sí,2012-05-30 00:00:00,18.0,1.0,D'1 a 2 anys,Contra la propietat no violent,No violent,SIPC - Preventiva,Presó,1 reincidència,Sí,True
54,Home,Espanyol,Spain,Barcelona,17.0,1991-03-27,Amb antecedents,2 fets,Contra la propietat violent,Violent,2,2008-07-26,2008,Barcelona,Internament centre terapèutic,Mesures d'execució,Internament,Menys de 6 mesos,458.0,148,2009-10-27,2010-03-25,2011-05-06 00:00:00,20.0,5.0,D'1 a 2 anys,Contra la propietat no violent,No violent,False,MPA - Treballs en benefici de la comunitat,TBC,Més de 3 reincidències,Sí,2011-05-06 00:00:00,20.0,4.0,D'1 a 2 anys,Contra la propietat no violent,No violent,MPA - Treballs en benefici de la comunitat,TBC,Més de 3 reincidències,Sí,True
56,Home,Espanyol,Spain,Girona,16.0,1991-11-17,Amb antecedents,2 fets,Contra la propietat violent,Violent,2,2008-10-18,2008,Girona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,264.0,370,2009-07-09,2010-07-14,2011-03-27 00:00:00,19.0,1.0,De 6 mesos a 1 any,Altres,No violent,False,SIPC - Localització permanent,LP,1 reincidència,Sí,2011-03-27 00:00:00,19.0,1.0,De 6 mesos a 1 any,Altres,No violent,SIPC - Localització permanent,LP,1 reincidència,Sí,True
58,Dona,Espanyol,Spain,Barcelona,15.0,1989-12-28,Amb antecedents,3 fets o més,Contra la propietat violent,Violent,4,2005-04-22,2005,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,1321.0,538,2008-12-03,2010-05-26,2010-09-21 00:00:00,20.0,1.0,Menys de 6 mesos,Altres,No violent,False,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí,2010-09-21 00:00:00,20.0,1.0,Menys de 6 mesos,Altres,No violent,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí,True
62,Home,Espanyol,Spain,Barcelona,14.0,1994-05-09,Amb antecedents,1 fet,Contra la propietat violent,Violent,1,2009-01-29,2009,Barcelona,Assessorament tècnic menors,ATM,Assessorament tècnic menors,Menys de 6 mesos,407.0,3,2010-03-12,2010-03-15,2010-08-26 00:00:00,16.0,3.0,Menys de 6 mesos,Contra la propietat no violent,No violent,False,Assessorament tècnic menors,ATM,2 o 3 reincidències,Sí,2010-08-26 00:00:00,16.0,3.0,Menys de 6 mesos,Contra la propietat no violent,No violent,Assessorament tècnic menors,ATM,2 o 3 reincidències,Sí,True
63,Home,Espanyol,Spain,Barcelona,16.0,1993-05-03,Amb antecedents,2 fets,Contra la propietat violent,Violent,2,2009-06-09,2009,Barcelona,Assessorament tècnic menors,ATM,Assessorament tècnic menors,Menys de 6 mesos,218.0,19,2010-01-13,2010-02-01,2012-11-27 00:00:00,19.0,3.0,De 2 a 3 anys,Altres,No violent,False,MPA - Treballs en benefici de la comunitat,TBC,2 o 3 reincidències,Sí,2012-11-27 00:00:00,19.0,1.0,De 2 a 3 anys,Altres,No violent,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí,True
65,Home,Espanyol,Spain,Barcelona,15.0,1993-07-29,Amb antecedents,1 fet,Contra la propietat violent,Violent,1,2009-05-29,2009,Barcelona,Assessorament tècnic menors,ATM,Assessorament tècnic menors,Menys de 6 mesos,258.0,49,2010-02-11,2010-04-01,2013-07-05 00:00:00,19.0,1.0,De 3 a 4 anys,Contra la propietat violent,Violent,True,SIPC - Preventiva,Presó,1 reincidència,Sí,2013-07-05 00:00:00,19.0,1.0,De 3 a 4 anys,Contra la propietat violent,Violent,SIPC - Preventiva,Presó,1 reincidència,Sí,True
67,Home,Espanyol,Spain,Barcelona,17.0,1991-08-28,Amb antecedents,1 fet,Contra la propietat violent,Violent,1,2009-04-08,2009,Barcelona,Assessorament tècnic menors,ATM,Assessorament tècnic menors,Menys de 6 mesos,363.0,6,2010-04-06,2010-04-13,2011-06-21 00:00:00,19.0,4.0,D'1 a 2 anys,Altres,No violent,False,Internament en centre,Internament,Més de 3 reincidències,Sí,2011-06-21 00:00:00,19.0,2.0,D'1 a 2 anys,Altres,No violent,Internament en centre,Internament,2 o 3 reincidències,Sí,True
69,Home,Espanyol,Spain,Tarragona,16.0,1991-09-14,Amb antecedents,2 fets,Contra la propietat violent,Violent,2,2007-10-16,2007,Tarragona,Internament en centre,Mesures d'execució,Internament,Més d'1 any,762.0,389,2009-11-16,2010-12-10,2011-08-29 00:00:00,19.0,5.0,De 6 mesos a 1 any,Contra la propietat violent,Violent,True,SIPC - Preventiva,Presó,Més de 3 reincidències,Sí,2011-08-29 00:00:00,19.0,5.0,De 6 mesos a 1 any,Contra la propietat violent,Violent,SIPC - Preventiva,Presó,Més de 3 reincidències,Sí,True
74,Home,Espanyol,Spain,Barcelona,14.0,1994-07-13,Amb antecedents,1 fet,Contra la propietat violent,Violent,1,2009-05-08,2009,Barcelona,Internament en centre,Mesures d'execució,Internament,Menys de 6 mesos,430.0,149,2010-07-12,2010-12-08,2013-02-02 00:00:00,18.0,2.0,De 2 a 3 anys,Contra la propietat no violent,No violent,False,SIPC - RPS,RPS,2 o 3 reincidències,Sí,2013-02-02 00:00:00,18.0,1.0,De 2 a 3 anys,Contra la propietat no violent,No violent,SIPC - RPS,RPS,1 reincidència,Sí,True
75,Home,Espanyol,Spain,Tarragona,15.0,1991-07-14,Amb antecedents,3 fets o més,Contra la propietat violent,Violent,7,2007-01-20,2007,Tarragona,Internament en centre,Mesures d'execució,Internament,Més d'1 any,621.0,479,2008-10-02,2010-01-24,2012-01-15 00:00:00,20.0,1.0,D'1 a 2 anys,Altres,No violent,False,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí,2012-01-15 00:00:00,20.0,1.0,D'1 a 2 anys,Altres,No violent,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí,True
